date,state,PH_Flag
2020-01-01,ACT,1
2020-01-26,ACT,1
2020-01-27,ACT,1
2020-03-09,ACT,1
2020-04-10,ACT,1
2020-04-11,ACT,1
2020-04-12,ACT,1
2020-04-13,ACT,1
2020-04-25,ACT,1
2020-06-08,ACT,1
2020-10-05,ACT,1
2020-06-01,ACT,1
2020-12-25,ACT,1
2020-12-26,ACT,1
2020-12-28,ACT,1
2021-01-01,ACT,1
2021-01-26,ACT,1
2021-03-08,ACT,1
2021-04-02,ACT,1
2021-04-03,ACT,1
2021-04-04,ACT,1
2021-04-05,ACT,1
2021-04-25,ACT,1
2021-04-26,ACT,1
2021-06-14,ACT,1
2021-10-04,ACT,1
2021-05-31,ACT,1
2021-12-25,ACT,1
2021-12-27,ACT,1
2021-12-26,ACT,1
2021-12-28,ACT,1
2020-01-01,VIC,1
2020-01-26,VIC,1
2020-01-27,VIC,1
2020-04-10,VIC,1
2020-04-11,VIC,1
2020-04-12,VIC,1
2020-04-13,VIC,1
2020-04-25,VIC,1
2020-06-08,VIC,1
2020-03-09,VIC,1
2020-10-23,VIC,1
2020-11-03,VIC,1
2020-12-25,VIC,1
2020-12-26,VIC,1
2020-12-28,VIC,1
2021-01-01,VIC,1
2021-01-26,VIC,1
2021-04-02,VIC,1
2021-04-03,VIC,1
2021-04-04,VIC,1
2021-04-05,VIC,1
2021-04-25,VIC,1
2021-06-14,VIC,1
2021-03-08,VIC,1
2021-09-24,VIC,1
2021-11-02,VIC,1
2021-12-25,VIC,1
2021-12-27,VIC,1
2021-12-26,VIC,1
2021-12-28,VIC,1
2020-01-01,NSW,1
2020-01-26,NSW,1
2020-01-27,NSW,1
2020-04-10,NSW,1
2020-04-11,NSW,1
2020-04-12,NSW,1
2020-04-13,NSW,1
2020-04-25,NSW,1
2020-06-08,NSW,1
2020-08-03,NSW,1
2020-10-05,NSW,1
2020-12-25,NSW,1
2020-12-26,NSW,1
2020-12-28,NSW,1
2021-01-01,NSW,1
2021-01-26,NSW,1
2021-04-02,NSW,1
2021-04-03,NSW,1
2021-04-04,NSW,1
2021-04-05,NSW,1
2021-04-25,NSW,1
2021-06-14,NSW,1
2021-08-02,NSW,1
2021-10-04,NSW,1
2021-12-25,NSW,1
2021-12-27,NSW,1
2021-12-26,NSW,1
2021-12-28,NSW,1
2020-01-01,QLD,1
2020-01-26,QLD,1
2020-01-27,QLD,1
2020-04-10,QLD,1
2020-04-11,QLD,1
2020-04-12,QLD,1
2020-04-13,QLD,1
2020-04-25,QLD,1
2020-10-05,QLD,1
2020-05-04,QLD,1
2020-08-14,QLD,1
2020-08-12,QLD,1
2020-12-25,QLD,1
2020-12-26,QLD,1
2020-12-28,QLD,1
2021-01-01,QLD,1
2021-01-26,QLD,1
2021-04-02,QLD,1
2021-04-03,QLD,1
2021-04-04,QLD,1
2021-04-05,QLD,1
2021-04-25,QLD,1
2021-04-26,QLD,1
2021-10-04,QLD,1
2021-05-03,QLD,1
2021-10-29,QLD,1
2021-12-25,QLD,1
2021-12-27,QLD,1
2021-12-26,QLD,1
2021-12-28,QLD,1
2020-01-01,WA,1
2020-01-26,WA,1
2020-01-27,WA,1
2020-04-10,WA,1
2020-04-13,WA,1
2020-04-25,WA,1
2020-04-27,WA,1
2020-06-01,WA,1
2020-09-28,WA,1
2020-03-02,WA,1
2020-12-25,WA,1
2020-12-26,WA,1
2020-12-28,WA,1
2021-01-01,WA,1
2021-01-26,WA,1
2021-04-02,WA,1
2021-04-05,WA,1
2021-04-25,WA,1
2021-04-26,WA,1
2021-06-07,WA,1
2021-09-27,WA,1
2021-03-01,WA,1
2021-12-25,WA,1
2021-12-27,WA,1
2021-12-26,WA,1
2021-12-28,WA,1
